michael carey	13 
multipl	26 21 15 
partit	16 26 15 
set	15 16 17 18 20 21 26 
amplifi	26 15 
is	15 16 17 18 21 22 26 
need	16 26 21 15 
effici	15 16 19 20 24 25 26 
support	15 16 17 18 20 23 24 26 
spatial	24 26 19 15 
tempor	26 15 
similar	24 26 21 15 
predic	26 15 
also	16 26 21 15 
make	26 15 
rank	26 15 
diversif	26 15 
critic	26 15 
order	15 16 17 18 21 22 26 
dissemin	26 15 
sometimesconnect	26 15 
subscrib	26 19 15 
base	15 16 17 18 19 20 26 
unpreced	26 15 
basi	26 21 22 15 
work	15 17 18 21 26 
an	15 19 20 21 22 24 26 
open sourc	17 18 26 15 
bdm	15 17 18 19 20 24 26 
search	24 26 15 
mass	26 15 
quantiti	17 18 26 15 
semi structur	15 17 18 20 26 
leverag	26 15 
next	26 20 15 
step	26 21 15 
creat	17 18 26 15 
open	15 17 18 19 20 26 
prototyp	26 15 
made	26 15 
efficient parallel set similarity joins using mapreduc	16 
abstract	16 
source cod	16 
dataset	16 20 21 
acm sigmod 2010 repeatability workability evalu	16 
acknowledg	16 
paper	16 25 20 
studi	16 19 20 21 24 
how	16 21 
perform	16 17 18 20 21 24 
set similar	16 20 21 24 25 
join	16 20 21 22 24 25 
use	16 17 18 20 21 22 25 
popular	16 
mapreduc	16 25 20 21 
propos	16 
3 stage	16 
end to end	16 
take	16 
input	16 21 
output	16 21 22 
condit	16 21 22 
across	16 21 
node	16 21 
balanc	16 19 21 
workload	16 
minim	16 
replic	16 24 
both	16 17 18 
self join	16 21 
r 	16 21 
case	16 17 18 20 21 24 
show	16 
care	16 
control	16 
amount	16 
kept	16 
main	16 21 
memori	16 20 21 22 
each	16 17 18 21 22 
where	16 21 22 
even	16 
if	16 22 
fine grain	16 
still	16 
doe	16 21 22 
not	16 21 22 
fit	16 17 18 22 
report	16 24 
extens	16 20 
experi	16 24 25 
real	16 
synthet	16 
increas	16 21 
size	16 17 18 21 
speedup	16 
scaleup	16 
properti	16 
algorithm	16 24 
bellow	16 21 
two	16 21 
ii	16 
0844574	16 
0910989	16 
grant	16 
uc	16 17 18 19 
discoveri	16 
program	16 21 
donat	16 
ebay	16 
long	16 20 
version	16 20 21 22 
slide	16 20 
summit	16 
2010	16 24 20 25 
poster	16 20 
rare	16 20 21 22 24 25 
vernica	16 19 20 21 22 24 25 
michael	16 20 
j	16 19 20 
chen	16 20 
sigmod	16 25 19 20 
fuzzyjoin 0 0 2 tgz	16 25 
12th	16 
2011	16 24 20 25 
fuzzyjoin 0 0 2 patch 2011 11 09 tgz	16 
readm	16 21 
packag	16 25 
faq	16 22 
last	16 
updat	16 24 
changelog	16 25 
fuzzyjoin mapreduce rwe 2010 04 23 tgz	16 25 
23rd	16 25 
fuzzyjoin mapreduce 1 0 tgz	16 25 
24th	16 25 
review	16 
1	16 20 21 22 25 
2	16 20 21 22 25 
dblp	16 21 
dblp raw txt gz	16 
83mb	16 
1 2m	16 
citeseerx	16 21 
csx raw txt gz	16 
591mb	16 
1 3m	16 
	17 18 20 23 24 
asterix	17 18 20 23 24 
welcom	17 18 
home	17 18 
page	17 18 
nsf sponsor	17 18 
led	17 18 
creation	24 17 18 
wa	17 18 20 21 
about	17 18 21 
four	17 18 
year	17 18 
initi	17 18 25 
r d	17 18 23 
2009 2013	17 18 
